false,1,10000,1334 ms,0 us,997 ms,942 ms,1939 ms
false,1,10000,1294 ms,0 us,997 ms,941 ms,1939 ms
false,1,10000,1294 ms,0 us,996 ms,941 ms,1937 ms
false,1,10000,1294 ms,0 us,999 ms,948 ms,1947 ms
false,1,10000,1301 ms,0 us,999 ms,943 ms,1943 ms
true,1,10000,2535 ms,69 us,997 ms,941 ms,1938 ms
true,1,10000,2532 ms,56 us,998 ms,941 ms,1939 ms
true,1,10000,2532 ms,59 us,997 ms,941 ms,1938 ms
true,1,10000,2532 ms,55 us,997 ms,941 ms,1938 ms
true,1,10000,2531 ms,70 us,996 ms,941 ms,1938 ms
false,8,10000,1382 ms,0 us,1106 ms,961 ms,2067 ms
false,8,10000,1381 ms,0 us,1106 ms,961 ms,2067 ms
false,8,10000,1382 ms,0 us,1105 ms,961 ms,2066 ms
false,8,10000,1382 ms,0 us,1106 ms,960 ms,2066 ms
false,8,10000,1385 ms,0 us,1106 ms,961 ms,2068 ms
true,8,10000,2695 ms,70 us,1104 ms,959 ms,2063 ms
true,8,10000,2696 ms,59 us,1103 ms,958 ms,2062 ms
true,8,10000,2693 ms,57 us,1103 ms,960 ms,2064 ms
true,8,10000,2709 ms,60 us,1104 ms,961 ms,2066 ms
true,8,10000,2702 ms,62 us,1105 ms,959 ms,2064 ms
false,64,10000,2201 ms,0 us,2157 ms,1040 ms,3198 ms
false,64,10000,2202 ms,0 us,2158 ms,1041 ms,3199 ms
false,64,10000,2202 ms,0 us,2159 ms,1042 ms,3201 ms
false,64,10000,2204 ms,0 us,2156 ms,1041 ms,3198 ms
false,64,10000,2201 ms,0 us,2158 ms,1042 ms,3201 ms
true,64,10000,4262 ms,102 us,2156 ms,1041 ms,3197 ms
true,64,10000,4276 ms,83 us,2160 ms,1039 ms,3199 ms
true,64,10000,4254 ms,102 us,2160 ms,1039 ms,3200 ms
true,64,10000,4258 ms,99 us,2160 ms,1040 ms,3201 ms
true,64,10000,4262 ms,96 us,2160 ms,1040 ms,3201 ms
false,256,10000,5594 ms,0 us,6504 ms,1370 ms,7875 ms
false,256,10000,5587 ms,0 us,6515 ms,1372 ms,7888 ms
false,256,10000,5594 ms,0 us,6506 ms,1372 ms,7878 ms
false,256,10000,5592 ms,0 us,6504 ms,1372 ms,7876 ms
false,256,10000,5592 ms,0 us,6505 ms,1371 ms,7877 ms
true,256,10000,10737 ms,87 us,6499 ms,1371 ms,7870 ms
true,256,10000,10756 ms,102 us,6504 ms,1375 ms,7879 ms
true,256,10000,10754 ms,91 us,6503 ms,1375 ms,7878 ms
true,256,10000,10749 ms,86 us,6499 ms,1371 ms,7871 ms
true,256,10000,10761 ms,114 us,6503 ms,1374 ms,7878 ms
false,1,10000,1292 ms,0 us,996 ms,941 ms,1937 ms
false,1,10000,1294 ms,0 us,996 ms,940 ms,1937 ms
false,1,10000,1294 ms,0 us,999 ms,941 ms,1941 ms
false,1,10000,1294 ms,0 us,996 ms,941 ms,1938 ms
false,1,10000,1294 ms,0 us,996 ms,940 ms,1937 ms
true,1,10000,2532 ms,59 us,998 ms,943 ms,1941 ms
true,1,10000,2535 ms,68 us,997 ms,941 ms,1938 ms
true,1,10000,2532 ms,66 us,997 ms,941 ms,1939 ms
true,1,10000,2530 ms,60 us,997 ms,941 ms,1938 ms
true,1,10000,2531 ms,54 us,998 ms,940 ms,1938 ms
false,1,100000,12953 ms,0 us,9967 ms,9416 ms,19384 ms
false,1,100000,12937 ms,0 us,9982 ms,9431 ms,19414 ms
false,1,100000,12964 ms,0 us,9972 ms,9421 ms,19393 ms
false,1,100000,12942 ms,0 us,9969 ms,9422 ms,19391 ms
false,1,100000,13071 ms,0 us,9997 ms,9437 ms,19435 ms
true,1,100000,25564 ms,58 us,10000 ms,9421 ms,19421 ms
true,1,100000,25295 ms,46 us,9975 ms,9433 ms,19409 ms
true,1,100000,25293 ms,48 us,9968 ms,9414 ms,19382 ms
true,1,100000,25574 ms,63 us,9981 ms,9431 ms,19412 ms
true,1,100000,25296 ms,65 us,9970 ms,9412 ms,19383 ms
false,1,1000000,130351 ms,0 us,99865 ms,94730 ms,194595 ms
false,1,1000000,129301 ms,0 us,100473 ms,94652 ms,195125 ms
false,1,1000000,129673 ms,0 us,99953 ms,94350 ms,194304 ms
false,1,1000000,130160 ms,0 us,100181 ms,94599 ms,194780 ms
false,1,1000000,130874 ms,0 us,100443 ms,95623 ms,196066 ms
true,1,1000000,252815 ms,122 us,100111 ms,94709 ms,194820 ms
true,1,1000000,253811 ms,130 us,99875 ms,94929 ms,194805 ms
true,1,1000000,254136 ms,134 us,99774 ms,94468 ms,194243 ms
true,1,1000000,252985 ms,125 us,99820 ms,94183 ms,194004 ms
true,1,1000000,253969 ms,124 us,99831 ms,94194 ms,194026 ms
